schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-1705,1705,臺中市立太平國民中學1,121,202401,F0001、G0005,地下水補注地質敏感區、活動斷層地質敏感區,臺中盆地、車籠埔斷層,2,120.7384562,24.1482271,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2115,2115,臺中市立安和國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6163047,24.1729435,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1501,1501,臺中市立居仁國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6784302,24.1372576,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-456,456,臺中市立居仁國民中學運動場,121,202512,G0005,地下水補注地質敏感區,臺中盆地,1,120.6746759,24.1362958,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-430,430,臺中市立崇倫國民中學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6583115,24.1314603,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2137,2137,臺中市立崇德國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.6846335,24.1751045,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1920,1920,臺中市立忠明高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6637530,24.1589402,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1800,1800,臺中市立惠文高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6398063,24.1520749,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2070,2070,臺中市立文華高級中等學校,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6606310,24.1703170,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1895,1895,臺中市立新光國民中學,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.7088880,24.1576008,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2010,2010,臺中市立東山高級中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.7128547,24.1660189,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1385,1385,臺中市立東峰國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6862408,24.1251727,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-3076,3076,臺中市立梨山國民中小學,121,202203,L0003,山崩與地滑地質敏感區,臺中市,1,121.2594392,24.2555125,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2549,2549,臺中市立沙鹿國民中學,121,201707,F0012,活動斷層地質敏感區,大甲斷層,1,120.5626596,24.2349681,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2791,2791,臺中市立清水高級中等學校,121,201712,F0012,活動斷層地質敏感區,大甲斷層,1,120.5746197,24.2650856,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1942,1942,臺中市立漢口國民中學,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.6576807,24.1615141,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-878,878,臺中市立潭子國民中學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.7080227,24.2091616,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2454,2454,臺中市立潭秀國民中學,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.6995204,24.2153812,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1196,1196,臺中市立爽文國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6780545,24.1071527,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2759,2759,臺中市立神圳國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6579204,24.2600914,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2624,2624,臺中市立神岡工業高級中等學校,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6810509,24.2464660,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-830,830,臺中市立福科國民中學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6142109,24.1887324,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2074,2074,臺中市立立人國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6701911,24.1708797,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1175,1175,臺中市立立新國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6975429,24.1049872,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1484,1484,臺中市立育英國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6988380,24.1359341,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2136,2136,臺中市立至善國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6408278,24.1747176,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1492,1492,臺中市立臺中女子高級中等學校,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6771316,24.1359931,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1442,1442,臺中市立臺中家事商業高級中等學校,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6850586,24.1332143,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1290,1290,臺中市立臺中工業高級中等學校,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6622004,24.1151160,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1797,1797,臺中市立臺中特殊教育學校,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6417030,24.1521603,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1771,1771,臺中市立臺中第一高級中等學校,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6867443,24.1506175,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1805,1805,臺中市立臺中第二高級中等學校,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6745328,24.1533118,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
