rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
153,冬山鄉,三奇村,10002080-004,113Y,200.0,0.0,0.0,199.0,129.0,64.8241,0.0,0.0,C 中度,較高,0,0,0,0
154,冬山鄉,大興村,10002080-005,113Y,235.0,0.0,0.0,235.0,235.0,100.0,0.0,0.0,C 中度,較高,0,0,0,0
155,冬山鄉,東城村,10002080-006,113Y,325.0,0.0,0.0,324.0,108.0,33.3333,0.0,0.0,C 中度,較高,0,0,0,0
156,冬山鄉,香和村,10002080-007,113Y,543.0,0.0,0.0,547.0,88.0,16.0878,0.0,0.0,C 中度,較高,0,0,0,0
157,冬山鄉,安平村,10002080-010,113Y,171.0,0.0,0.0,173.0,110.0,63.5838,0.0,0.0,C 中度,較高,0,0,0,0
158,五結鄉,錦眾村,10002090-012,113Y,356.0,0.0,0.0,354.0,19.0,5.3672,0.0,0.0,C 中度,較高,0,0,0,0
159,五結鄉,季新村,10002090-015,113Y,590.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
160,三星鄉,員山村,10002100-001,113Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
161,三星鄉,天福村,10002100-003,113Y,201.0,0.0,0.0,204.0,26.0,12.7451,0.0,0.0,C 中度,較高,0,0,0,0
162,三星鄉,人和村,10002100-005,113Y,120.0,0.0,0.0,119.0,109.0,91.5966,0.0,0.0,C 中度,較高,0,0,0,0
163,三星鄉,萬德村,10002100-012,113Y,150.0,0.0,0.0,150.0,29.0,19.3333,0.0,0.0,C 中度,較高,0,0,0,0
164,三星鄉,貴林村,10002100-013,113Y,112.0,0.0,0.0,116.0,63.0,54.3103,0.0,0.0,C 中度,較高,0,0,0,0
165,三星鄉,萬富村,10002100-014,113Y,212.0,0.0,0.0,213.0,25.0,11.7371,0.0,0.0,C 中度,較高,0,0,0,0
166,三星鄉,大洲村,10002100-017,113Y,377.0,0.0,0.0,380.0,14.0,3.6842,0.0,0.0,C 中度,較高,0,0,0,0
167,三星鄉,尾塹村,10002100-018,113Y,327.0,0.0,0.0,327.0,52.0,15.9021,0.0,0.0,C 中度,較高,0,0,0,0
168,大同鄉,崙埤村,10002110-002,113Y,75.0,0.0,0.0,76.0,25.0,32.8947,0.0,0.0,C 中度,較高,0,0,0,0
169,大同鄉,松羅村,10002110-003,113Y,109.0,0.0,0.0,113.0,16.0,14.1593,0.0,0.0,C 中度,較高,0,0,0,0
170,大同鄉,復興村,10002110-004,113Y,60.0,0.0,0.0,62.0,27.0,43.5484,0.0,0.0,C 中度,較高,0,0,0,0
171,大同鄉,樂水村,10002110-006,113Y,57.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
172,大同鄉,太平村,10002110-007,113Y,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
173,大同鄉,四季村,10002110-008,113Y,125.0,0.0,0.0,129.0,23.0,17.8295,0.0,0.0,C 中度,較高,0,0,0,0
174,大同鄉,南山村,10002110-009,113Y,75.0,0.0,0.0,74.0,6.0,8.1081,0.0,0.0,C 中度,較高,0,0,0,0
175,大同鄉,茂安村,10002110-010,113Y,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
176,南澳鄉,碧候村,10002120-002,113Y,141.0,0.0,0.0,144.0,6.0,4.1667,0.0,0.0,C 中度,較高,0,0,0,0
177,南澳鄉,金岳村,10002120-004,113Y,57.0,0.0,0.0,60.0,15.0,25.0,0.0,0.0,C 中度,較高,0,0,0,0
178,南澳鄉,武塔村,10002120-005,113Y,86.0,0.0,0.0,88.0,15.0,17.0455,0.0,0.0,C 中度,較高,0,0,0,0
179,蘇澳鎮,永光里,10002030-015,113Y,116.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
180,蘇澳鎮,永樂里,10002030-017,113Y,96.0,0.0,0.0,100.0,6.0,6.0,0.0,0.0,C 中度,較高,0,0,0,0
181,蘇澳鎮,東澳里,10002030-024,113Y,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
182,頭城鎮,石城里,10002040-001,113Y,82.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
183,頭城鎮,大溪里,10002040-003,113Y,178.0,0.0,0.0,181.0,8.0,4.4199,0.0,0.0,C 中度,較高,0,0,0,0
184,頭城鎮,合興里,10002040-004,113Y,78.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
185,頭城鎮,港口里,10002040-007,113Y,153.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
186,頭城鎮,武營里,10002040-008,113Y,342.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
187,頭城鎮,大坑里,10002040-009,113Y,261.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
188,頭城鎮,城東里,10002040-010,113Y,217.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
189,頭城鎮,城北里,10002040-011,113Y,117.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
190,冬山鄉,八寶村,10002080-012,113Y,180.0,0.0,0.0,182.0,175.0,96.1538,0.0,0.0,C 中度,較高,0,0,0,0
191,冬山鄉,丸山村,10002080-013,113Y,318.0,0.0,0.0,317.0,272.0,85.8044,0.0,0.0,C 中度,較高,0,0,0,0
